epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,66610.1,1.14135,0.90213,1.17041,0.72653,0.72233,0.73083,0.43611,1.4802,1.46945,1.42418,0.0034825,0.0034825,0.0034825
81,67414.9,1.13284,0.89925,1.16715,0.72781,0.72112,0.73114,0.43629,1.48065,1.4679,1.4246,0.0034,0.0034,0.0034
82,68220.9,1.13103,0.89502,1.16277,0.72789,0.72144,0.73134,0.43688,1.48113,1.46638,1.42485,0.0033175,0.0033175,0.0033175
83,69072.3,1.12897,0.88803,1.16456,0.7297,0.72144,0.73144,0.43736,1.4814,1.46522,1.42519,0.003235,0.003235,0.003235
84,69898.9,1.12249,0.88328,1.16029,0.73134,0.72019,0.73199,0.43742,1.48195,1.46383,1.4255,0.0031525,0.0031525,0.0031525
85,70702.8,1.11768,0.87565,1.15856,0.72421,0.72601,0.73215,0.43744,1.48256,1.4623,1.42589,0.00307,0.00307,0.00307
86,71522.2,1.114,0.87336,1.15684,0.73345,0.72234,0.7325,0.43762,1.48292,1.46057,1.42649,0.0029875,0.0029875,0.0029875
87,72350.7,1.10257,0.85879,1.15148,0.73198,0.7229,0.73259,0.43826,1.4828,1.45941,1.42671,0.002905,0.002905,0.002905
88,73187.6,1.10021,0.86038,1.14605,0.73148,0.72351,0.73279,0.43833,1.4833,1.45805,1.42733,0.0028225,0.0028225,0.0028225
89,74003.9,1.09708,0.85237,1.14217,0.73006,0.72604,0.73294,0.4389,1.48376,1.45622,1.42766,0.00274,0.00274,0.00274
90,74821.8,1.09188,0.84886,1.13948,0.73019,0.72663,0.73304,0.43907,1.48416,1.45524,1.42797,0.0026575,0.0026575,0.0026575
91,75655.2,1.0853,0.8505,1.14015,0.72807,0.72922,0.73299,0.4396,1.48477,1.4541,1.42837,0.002575,0.002575,0.002575
92,76490.8,1.0789,0.83999,1.13844,0.72863,0.72935,0.73336,0.43928,1.48556,1.45236,1.42888,0.0024925,0.0024925,0.0024925
93,77327.4,1.07322,0.83253,1.13504,0.73231,0.72697,0.73349,0.43995,1.4863,1.45101,1.42961,0.00241,0.00241,0.00241
94,78232.2,1.06753,0.82797,1.12845,0.73362,0.7258,0.73339,0.43994,1.48689,1.44998,1.43015,0.0023275,0.0023275,0.0023275
95,79115,1.06147,0.82053,1.125,0.7352,0.72386,0.73337,0.4396,1.48757,1.44933,1.4307,0.002245,0.002245,0.002245
96,80018.3,1.05345,0.80993,1.11977,0.73697,0.72492,0.73348,0.44009,1.48846,1.44857,1.4312,0.0021625,0.0021625,0.0021625
97,80902.4,1.05135,0.80882,1.11889,0.73691,0.72654,0.73383,0.44046,1.48936,1.44721,1.43163,0.00208,0.00208,0.00208
98,81723.5,1.04726,0.79981,1.11988,0.7373,0.72531,0.73403,0.44093,1.49023,1.44659,1.43239,0.0019975,0.0019975,0.0019975
99,82550.8,1.04049,0.79639,1.11397,0.73827,0.72397,0.73412,0.44119,1.49095,1.44507,1.43317,0.001915,0.001915,0.001915
100,83367.9,1.036,0.78654,1.11375,0.73593,0.72648,0.73449,0.44136,1.49121,1.44428,1.43365,0.0018325,0.0018325,0.0018325
101,84172.9,1.02929,0.78922,1.10985,0.74009,0.72311,0.73426,0.44258,1.49209,1.44387,1.43448,0.00175,0.00175,0.00175
102,84976.2,1.01931,0.7755,1.10574,0.74025,0.72255,0.73403,0.44262,1.4929,1.44292,1.43536,0.0016675,0.0016675,0.0016675
103,85870.4,1.01275,0.7708,1.10208,0.74129,0.72153,0.73392,0.4428,1.49331,1.44201,1.43591,0.001585,0.001585,0.001585
104,86683.6,1.01275,0.76939,1.10198,0.74036,0.72334,0.7341,0.44249,1.49446,1.44176,1.43684,0.0015025,0.0015025,0.0015025
105,87500.5,1.00275,0.75527,1.09581,0.74197,0.72268,0.73422,0.44263,1.49539,1.44162,1.43777,0.00142,0.00142,0.00142
106,88327.9,1.00088,0.75528,1.09262,0.74261,0.7229,0.73403,0.44261,1.4968,1.4412,1.43871,0.0013375,0.0013375,0.0013375
107,89257.8,0.99555,0.75207,1.08973,0.74291,0.72365,0.73396,0.44231,1.49779,1.44129,1.43915,0.001255,0.001255,0.001255
108,90185.4,0.99053,0.74666,1.08873,0.74576,0.72076,0.73374,0.44232,1.49857,1.44107,1.43974,0.0011725,0.0011725,0.0011725
109,90983.8,0.97695,0.73725,1.08257,0.74619,0.72119,0.73404,0.44198,1.49984,1.44108,1.4406,0.00109,0.00109,0.00109
110,91795,0.97185,0.73422,1.07959,0.74319,0.72413,0.73359,0.4422,1.50123,1.44124,1.44178,0.0010075,0.0010075,0.0010075
111,92718.7,0.96666,0.6781,1.08654,0.74323,0.72424,0.73429,0.44239,1.50266,1.44126,1.44314,0.000925,0.000925,0.000925
112,93525.4,0.94915,0.66022,1.07832,0.74234,0.72492,0.73424,0.44236,1.50486,1.44175,1.44487,0.0008425,0.0008425,0.0008425
113,94414,0.93979,0.65262,1.07697,0.74278,0.72518,0.73423,0.44279,1.50671,1.44173,1.44651,0.00076,0.00076,0.00076
114,95278.3,0.93218,0.64183,1.0723,0.74319,0.72425,0.73338,0.44283,1.50852,1.44277,1.44837,0.0006775,0.0006775,0.0006775
115,96136.3,0.91974,0.63241,1.06692,0.74392,0.72475,0.73369,0.44274,1.51062,1.44407,1.45072,0.000595,0.000595,0.000595
116,97000,0.91305,0.62026,1.06172,0.73937,0.72605,0.73284,0.44309,1.51231,1.44517,1.45248,0.0005125,0.0005125,0.0005125
117,97798.8,0.90393,0.61873,1.05652,0.74046,0.72642,0.73354,0.44287,1.51445,1.44662,1.45468,0.00043,0.00043,0.00043
118,98595.1,0.89848,0.60881,1.05577,0.73879,0.72716,0.73291,0.44266,1.51544,1.44842,1.45616,0.0003475,0.0003475,0.0003475
119,99392,0.89199,0.60337,1.0535,0.73807,0.72902,0.73281,0.44299,1.51709,1.45025,1.45798,0.000265,0.000265,0.000265
120,100198,0.8841,0.59545,1.04777,0.73743,0.72889,0.73251,0.44284,1.51899,1.45217,1.46018,0.0001825,0.0001825,0.0001825
